pinky,ring,middle,index,thumb,gesture
1222,1376,1373,1169,1468,"default"
1223,1353,1386,1158,1463,"default"
1221,1359,1386,1166,1472,"default"
1230,1353,1381,1162,1472,"default"
1216,1345,1392,1166,1466,"default"
1219,1351,1385,1165,1483,"default"
1230,1358,1383,1167,1473,"default"
1194,1354,1391,1168,1471,"default"
1222,1371,1388,1170,1501,"default"
1300,1571,1560,1223,1463,"default"
1442,1745,1677,1329,1622,"default"
1515,1820,1737,1436,1641,"default"
1549,1858,1769,1477,1644,"default"
1573,1895,1807,1584,1578,"default"
1579,1953,1837,1588,1535,"default"
1611,1936,1841,1600,1564,"default"
1616,1949,1838,1607,1552,"default"
1616,1968,1844,1617,1503,"default"
1604,1980,1859,1635,1462,"default"
1618,1971,1869,1639,1463,"default"
1622,1970,1852,1643,1466,"default"
1626,1981,1862,1642,1487,"default"
1629,1973,1872,1641,1499,"default"
1617,1974,1873,1630,1517,"default"
1619,1972,1867,1641,1502,"default"
1594,1959,1858,1632,1504,"default"
1519,1919,1828,1616,1535,"default"
1343,1758,1712,1519,1610,"default"
1207,1390,1402,1259,1554,"default"
1183,1355,1394,1184,1507,"default"
1209,1381,1399,1203,1520,"default"
1223,1396,1408,1206,1519,"default"
1205,1337,1367,1213,1515,"default"
1157,1241,1291,1155,1495,"default"
1122,1191,1255,1095,1488,"default"
1113,1169,1226,1062,1471,"default"
1111,1170,1229,1022,1463,"default"
1119,1174,1233,1037,1463,"default"
1122,1188,1242,1023,1462,"default"
1116,1189,1286,1031,1463,"default"
1127,1196,1261,1033,1456,"default"
1124,1195,1255,1022,1461,"default"
1132,1203,1266,1039,1458,"default"
1120,1217,1272,1040,1457,"default"
1143,1217,1279,1053,1455,"default"
1136,1215,1280,1053,1434,"default"
1167,1231,1264,1049,1452,"default"
1180,1238,1295,1052,1447,"default"
1180,1264,1309,1071,1405,"default"
1223,1314,1347,1125,1397,"default"
1269,1424,1392,1164,1497,"default"
1283,1445,1451,1184,1507,"default"
1287,1444,1442,1181,1504,"default"
1291,1437,1449,1189,1514,"default"
1264,1360,1411,1147,1451,"default"
